date,Stock_Price,Option_Price,Implied_Volatility,delta,PNL,PNL(with_hedge),Daily_hedging_error
2011-07-05,532.44,44.2,0.26479,0.722575,0,0,0
2011-07-06,535.36,46.9,0.272003,0.733274,-2.7,-0.592649,-0.592649
2011-07-07,546.6,55.3,0.272577,0.787535,-11.1,-0.753259,-0.16061
2011-07-08,531.99,43.95,0.271309,0.719366,0.25,-0.912126,-0.158867
2011-07-11,527.28,41,0.281812,0.691446,3.2,-1.35263,-0.440504
2011-07-12,534.01,46.4,0.29301,0.7227,-2.2,-2.10139,-0.748762
2011-07-13,538.26,49.3,0.290263,0.745027,-5.1,-1.93236,0.169036
2011-07-14,528.94,41.15,0.275202,0.706877,3.05,-0.728252,1.2041
2011-07-15,597.62,99.65,0.28477,0.940679,-55.45,-10.682,-9.95371
2011-07-18,594.94,97.65,0.307648,0.926331,-53.45,-11.2058,-0.523838
2011-07-19,602.55,103.8,0.272939,0.960127,-59.6,-10.3092,0.896615
2011-07-20,595.35,97.8,0.303422,0.931868,-53.6,-11.2254,-0.916186
2011-07-21,606.99,108.15,0.279277,0.964163,-63.95,-10.732,0.493414
2011-07-22,618.23,118.7,0.252113,0.985838,-74.5,-10.4486,0.283323
2011-07-25,618.98,119.95,0.302577,0.971392,-75.75,-10.9632,-0.5146
2011-07-26,622.52,123.25,0.295575,0.978327,-79.05,-10.8284,0.13482
2011-07-27,607.22,108.65,0.309217,0.957587,-64.45,-11.2009,-0.372539
2011-07-28,610.94,112.1,0.307165,0.964877,-67.9,-11.0928,0.10819
2011-07-29,603.69,106.8,0.375557,0.924647,-62.6,-12.7922,-1.69943
